ID;params
1;[[0.5, 'first', True, True], [0.5, 'most-recent', True, True]]
2;[[1, 'first', True, True]]
3;[[0, 'first', True, True], [0, 'most-recent', True, True]]
4;[[1, 'most-recent', False, False]]
5;[[0, 'first', False, True], [0, 'most-recent', False, True], [0.5, 'first', True, True], [0.5, 'most-recent', True, True]]
6;[[1, 'first', False, True]]
7;[[1, 'most-recent', False, False]]
8;[[0, 'first', True, False], [0, 'most-recent', True, False], [0.5, 'first', True, False], [0.5, 'most-recent', True, False]]
9;[[1, 'most-recent', False, False]]
10;[[0, 'first', False, True], [0, 'most-recent', False, True]]
11;[[0, 'first', False, False], [0, 'most-recent', False, False], [0.5, 'first', False, True], [0.5, 'first', False, False], [0.5, 'most-recent', False, True], [0.5, 'most-recent', False, False], [1, 'first', True, False], [1, 'first', False, False]]
12;[[0.5, 'first', False, True], [0.5, 'most-recent', False, True], [1, 'first', False, True]]
13;[[0, 'first', True, True], [0, 'most-recent', True, True]]
14;[[1, 'first', False, True]]
15;[[0, 'first', True, True], [0, 'first', False, True], [0, 'most-recent', True, True], [0, 'most-recent', False, True]]
16;[[0, 'first', True, True], [0, 'first', False, True], [0, 'most-recent', True, True], [0, 'most-recent', False, True]]
17;[[0.5, 'first', False, True], [0.5, 'most-recent', False, True]]
18;[[0, 'first', False, True], [0, 'most-recent', False, True]]
19;[[1, 'first', False, False]]
20;[[0, 'first', False, False], [0, 'most-recent', False, False], [0.5, 'first', False, False], [0.5, 'most-recent', False, False], [1, 'first', False, True]]
21;[[0.5, 'first', True, True], [0.5, 'most-recent', True, True]]
22;[[0, 'first', False, True], [0, 'most-recent', False, True]]
23;[[1, 'first', False, False]]
24;[[0, 'first', False, True], [0, 'most-recent', False, True], [0.5, 'first', False, True], [0.5, 'most-recent', False, True]]
25;[[0, 'first', False, False], [0, 'most-recent', False, False], [0.5, 'first', False, False], [0.5, 'most-recent', False, False]]
26;[[0.5, 'first', True, True], [0.5, 'most-recent', True, True]]
27;[[0.5, 'first', True, True], [0.5, 'most-recent', True, True]]
28;[[0.5, 'first', True, True], [0.5, 'first', False, True], [0.5, 'most-recent', True, True], [0.5, 'most-recent', False, True]]
29;[[1, 'most-recent', False, True]]
30;[[1, 'first', False, False]]
31;[[1, 'first', False, True]]
32;[[1, 'first', False, True], [1, 'most-recent', False, True]]
33;[[1, 'first', False, True], [1, 'first', False, False]]
34;[[1, 'most-recent', False, True], [1, 'most-recent', False, False]]
35;[[0, 'first', True, True], [0, 'most-recent', True, True]]
36;[[1, 'first', False, False]]
37;[[0, 'first', True, True], [0, 'most-recent', True, True]]
38;[[0, 'first', True, True], [0, 'most-recent', True, True]]
39;[[1, 'first', True, True]]
40;[[1, 'first', False, False]]
41;[[0.5, 'first', True, True], [0.5, 'most-recent', True, True]]
42;[[0.5, 'first', False, True], [0.5, 'most-recent', False, True]]
43;[[1, 'first', False, False]]
44;[[0, 'first', True, True], [0, 'most-recent', True, True]]
45;[[0, 'first', True, True], [0, 'most-recent', True, True], [0.5, 'first', True, True], [0.5, 'most-recent', True, True]]
46;[[1, 'first', False, False]]
47;[[1, 'first', False, True]]
48;[[1, 'first', False, False], [1, 'most-recent', False, False]]
49;[[0, 'first', False, False], [0, 'most-recent', False, False], [0.5, 'first', False, False], [0.5, 'most-recent', False, False]]
50;[[0, 'first', True, False], [0, 'most-recent', True, False], [0.5, 'first', True, False], [0.5, 'most-recent', True, False]]
51;[[0, 'first', False, False], [0, 'most-recent', False, False], [0.5, 'first', False, False], [0.5, 'most-recent', False, False], [1, 'most-recent', False, True]]
52;[[0, 'first', False, False], [0, 'most-recent', False, False], [0.5, 'first', False, False], [0.5, 'most-recent', False, False], [1, 'first', False, False]]
53;[[0, 'first', False, False], [0, 'most-recent', False, False], [0.5, 'first', False, False], [0.5, 'most-recent', False, False], [1, 'first', True, False], [1, 'most-recent', False, False]]
54;[[1, 'first', False, False]]
55;[[0, 'first', False, False], [0, 'most-recent', False, False], [0.5, 'first', False, False], [0.5, 'most-recent', False, False]]
56;[[1, 'first', False, False]]
57;[[1, 'first', False, True], [1, 'first', False, False]]
58;[[0, 'first', False, False], [0, 'most-recent', False, False], [0.5, 'first', False, False], [0.5, 'most-recent', False, False]]
59;[[0, 'first', True, True], [0, 'most-recent', True, True]]
60;[[0, 'first', False, True], [0, 'most-recent', False, True]]
61;[[1, 'first', False, False]]
62;[[1, 'first', True, True], [1, 'first', False, True]]
63;[[0, 'first', True, True], [0, 'most-recent', True, True]]
64;[[0, 'first', False, False], [0, 'most-recent', False, False], [0.5, 'first', False, False], [0.5, 'most-recent', False, False]]
65;[[1, 'first', True, True]]
66;[[0, 'first', False, True], [0, 'most-recent', False, True]]
